Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
78,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.3088046370891221,1.2529188962578532,1817.9935414659417,30.88046370891221,0.4335886967319441,0.8616996933930933,43.35886967319441,1.6,3
79,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.41848789507098555,1.015687785989626,2262.481339421001,41.84878950709855,0.43008593753146174,0.874442343424286,43.00859375314617,1.9,3
80,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.3540752336223849,1.1858332982855861,1670.40732763536,35.40752336223849,0.4305649606755169,0.8788300116829127,43.05649606755169,2.0,3
81,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']",0.320674491407245,1.1782451440942827,1995.2693958833556,32.067449140724506,0.32240158412971626,1.291663937902298,32.240158412971624,1.3,3
82,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']",0.2274848737221414,1.3987772497008057,1410.530568985767,22.74848737221414,0.3104537602232383,1.3157159726814913,31.04537602232383,1.2,3
83,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']",0.29635434918274506,1.2122815821958393,1863.4115331516375,29.635434918274505,0.31352596289402646,1.3164982617489378,31.352596289402644,1.2,3
84,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']",0.3431244762201823,1.0353320133254749,2409.3993287991725,34.312447622018226,0.5018273590281812,0.7621006361496557,50.18273590281812,1.6,3
85,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']",0.27252210919238046,1.322809777091115,1600.4378386805417,27.252210919238046,0.4999250112637973,0.7661943206304506,49.99250112637973,1.9,3
86,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']",0.2792463806761679,1.2379180920639214,1632.923571770247,27.92463806761679,0.5029141374784672,0.7683249100355346,50.291413747846725,2.0,3
87,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.3163072968036514,1.0879982012185525,2343.6823208650253,31.63072968036514,0.5073807966447867,0.7537178681392925,50.738079664478676,1.6,3
88,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.291519952425057,1.1325724348868618,2209.51362391046,29.151995242505702,0.505442029993318,0.7577573460446015,50.5442029993318,1.9,3
89,4,"['OCC_YEAR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.2805630570864297,1.2376932571544697,1637.2921334316384,28.05630570864297,0.5083599088096072,0.7598246489359526,50.83599088096072,2.0,3
90,4,"['OCC_YEAR', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']",0.2894159076391953,1.1941239547359148,2074.386113278934,28.94159076391953,0.3266896894349742,1.2838188531553318,32.66896894349742,1.3,3
91,4,"['OCC_YEAR', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']",0.2818593759058652,1.2083417436116517,2011.5986804545225,28.18593759058652,0.31694907703987274,1.3081818886106458,31.694907703987273,1.2,3
92,4,"['OCC_YEAR', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']",0.2843326074516608,1.2060312994831837,2017.7363115271596,28.433260745166077,0.31907668388661675,1.3082038781590046,31.907668388661676,1.1,3
93,4,"['OCC_YEAR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']",0.3295780526261107,1.1231027263019404,2524.7199727637876,32.95780526261107,0.3219122712722609,1.3484813995928784,32.19122712722609,0.8,3
94,5,"['OCC_YEAR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']",0.2594559753568298,1.4595348288148364,1628.4003764466713,25.945597535682978,0.2762496356795251,1.497533742169265,27.62496356795251,1.3,3
95,5,"['OCC_YEAR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']",0.25285299423060736,1.5858078441311863,1590.8496534287003,25.285299423060735,0.2662135468384338,1.3713361498961187,26.62135468384338,1.2,13
